generation,N_shifts,logPrior,logLik,eventRate,acceptRate
13200,0,7.33732,-2.35507,0.803864,0.495
13300,0,7.4669,0.416192,0.674287,0.48
13400,1,15.119,-3.56655,0.674287,0.4925
13500,0,7.88198,3.51805,0.298968,0.482
13600,0,7.72422,4.22702,0.409331,0.461667
13700,0,7.9655,4.4085,0.234043,0.442857
13800,1,13.7376,6.94566,0.234043,0.4275
13900,0,7.97922,7.5095,0.234043,0.433333
14000,1,15.4961,5.21381,0.701499,0.424
14100,3,27.6597,5.24933,2.03457,0.41
14200,3,28.3308,6.42697,1.36343,0.43
14300,3,27.6573,-0.0272199,2.17174,0.466667
14400,2,20.4645,-8.03046,1.17544,0.4625
14500,1,13.9001,-11.0637,0.542018,0.48
14600,2,22.5071,-0.10244,1.21342,0.486667
14700,4,38.3664,-5.25455,0.417151,0.488571
14800,3,30.7721,0.0873206,0.657306,0.48375
14900,0,7.77488,6.30805,0.340956,0.493333
15000,1,6.81891,-8.26753,1.43277,0.459545
15100,1,6.79687,-6.82368,1.43277,0.41
15200,3,20.091,-2.57993,2.98945,0.425
15300,3,18.7971,-4.20552,2.98945,0.47
15400,4,27.2691,-8.55124,2.08339,0.4575
15500,3,19.5514,-7.00263,2.30388,0.456
15600,4,24.8058,-10.6239,3.07906,0.476667
15700,2,12.6972,-14.8004,2.75522,0.487143
15800,2,14.0207,-5.22994,1.96349,0.495
15900,2,14.8083,-2.67635,1.96349,0.49
16000,3,22.6304,-6.13465,1.96349,0.49
16100,4,28.6551,-5.72602,2.9955,0.52
16200,5,38.0308,-9.03637,1.89298,0.57
16300,5,37.4656,-9.89458,1.89298,0.56
16400,5,37.7557,-5.46986,1.79584,0.535
16500,4,30.3814,-8.80238,1.79584,0.53
16600,3,21.8349,-9.51847,1.95987,0.526667
16700,3,21.4407,-5.29029,2.3541,0.522857
16800,3,22.4667,-7.6892,1.32806,0.5175
16900,3,22.8401,-7.73913,1.32806,0.517778
